story_id,prediction,rationale
The Count of Monte Cristo,0,Insufficient evidence (only 1 excerpt) to establish persistent trait.
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,0,Insufficient evidence (only 1 excerpt) to establish persistent trait.
The Count of Monte Cristo,0,Insufficient evidence (only 1 excerpt) to establish persistent trait.
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'INTRODUCTION TO THE CANNIBALS. The next morning at break of day a dense fog was spreading heavily over the river, but the rays of the sun were not lon...'"
The Count of Monte Cristo,0,Insufficient evidence (only 1 excerpt) to establish persistent trait.
In Search of the Castaways,0,Insufficient evidence (only 1 excerpt) to establish persistent trait.
In Search of the Castaways,1,"Supported by narrative evidence: 'Paganel's supposition, plausible in Patagonia, was illogical in Australia. The geographer perceived this in a discussion on the subject with the major...'"
In Search of the Castaways,1,"Supported by narrative evidence: 'conjecture?"" resumed Glenarvan. ""First, that the shipwreck took place in the South Seas; and now I call your attention to the word _gonia_. Does it no...'"
In Search of the Castaways,1,"Supported by narrative evidence: 'in gold for a raft that would transport us to the other side!"" ""Why,"" said Wilson, ""does not your lordship give us the order to construct this raft? T...'"
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'VAIN EFFORTS. Will Halley and his crew, taking advantage of the night and the passengers' sleep, had fled with the only boat left. They could not doub...'"
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,0,Insufficient evidence (only 1 excerpt) to establish persistent trait.
In Search of the Castaways,1,"Supported by narrative evidence: 'what had he left? His arms, his horses, everything had been lost in the inundation. His friends were no richer than himself. For some moments he was a...'"
In Search of the Castaways,1,"Supported by narrative evidence: 'in measureless astonishment, looking first at Olbinett, and then at the new comer. ""Now,"" continued the latter, ""the introduction is over, and we are ...'"
In Search of the Castaways,0,"Contradicted by evidence asserting 'wander' state: 'some hostile attack upon the Irishman, when a better opportunity was offered. Chance threw us in his...'"
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'this speed. At noon it was necessary to give them an hour's rest. Glenarvan grew uneasy. The signs of dryness did not diminish, and the want of water ...'"
In Search of the Castaways,1,"Supported by narrative evidence: 'INTRODUCTION TO THE CANNIBALS. The next morning at break of day a dense fog was spreading heavily over the river, but the rays of the sun were not lon...'"
In Search of the Castaways,1,"Supported by narrative evidence: 'Not one of them remained at the foot of the mountain, and when darkness invaded the valleys of the lake, no fire betokened the presence of the Maoris ...'"
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,1,"Supported by narrative evidence: 'it, telling me if I did not pay for you, he would be paid by M. Morrel; and so, you see, lest he might do you an injury——” “Well?” “Why, I paid him.” ...'"
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'what had he left? His arms, his horses, everything had been lost in the inundation. His friends were no richer than himself. For some moments he was a...'"
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'understand Thalcave's language?"" ""I suppose,"" answered Glenarvan, ""that the Patagonian and I will not need to talk. Besides, with the few Spanish word...'"
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'repeated,-- ""Spanish?"" ""Yes,"" replied the native. Paganel's surprise became amazement. The major and Glenarvan looked at him quizzingly. ""Ah, my learn...'"
In Search of the Castaways,1,"Supported by narrative evidence: 'On the 24th of August, Lord and Lady Glenarvan, Major MacNabb, Mary and Robert Grant, Mr. Olbinett, the steward of the yacht, and his wife, who was in...'"
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,0,"Contradicted by evidence asserting 'dead' state: 'but am going to give you a new proof of my sincerity in this affair. I act frankly, because I rely u...'"
In Search of the Castaways,0,Insufficient evidence (only 1 excerpt) to establish persistent trait.
In Search of the Castaways,1,"Supported by narrative evidence: 'make use of her at the earliest opportunity. The tides of the Pacific are not very strong, but he relied upon their influence to float the brig, which...'"
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,1,"Supported by narrative evidence: 'sailor, that he was unable even to thank Edmond, whose receding figure he continued to gaze after in speechless astonishment. “Some nabob from India,”...'"
In Search of the Castaways,0,Insufficient evidence (only 1 excerpt) to establish persistent trait.
In Search of the Castaways,1,Supported by narrative evidence: 'THE DEPARTURE OF THE DUNCAN. It has been already said that Lady Helena had a brave and generous soul. What she had just done was an undeniable proof o...'
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'afternoon of the same day the yacht left the islands and islanders so rarely visited. Whilst the passengers had been thus engaged, Lord Glenarvan had ...'"
In Search of the Castaways,1,"Supported by narrative evidence: '""And we will seek, find, and save him, my friend!"" cried Paganel. ""Ah, precious document!"" added he, with perfect simplicity: ""it must be confessed th...'"
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'understand Thalcave's language?"" ""I suppose,"" answered Glenarvan, ""that the Patagonian and I will not need to talk. Besides, with the few Spanish word...'"
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,Supported by narrative evidence: 'overtasked and exhausted. The pumps could not be worked. For eight days the vessel was at the mercy of the storm. There were six feet of water in her ...'
The Count of Monte Cristo,0,No retrieved passage explicitly supports the events/traits described.
In Search of the Castaways,1,"Supported by narrative evidence: 'THE GEOGRAPHER'S RESOLUTION. Meanwhile the yacht, favored by the currents, was advancing rapidly towards the equator. In a few days the island of Made...'"
In Search of the Castaways,0,No retrieved passage explicitly supports the events/traits described.
